,date,city,city_ibge_code,epidemiological_week,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,order_for_place,place_type,state,new_confirmed,new_deaths,growth_rate,growth_accel,growth_accel_rate,growth_rate_NORM_(%),growth_accel_NORM_(%),growth_accel_rate_NORM_(%),LENTO,EXPONENCIAL,DESACELERACAO,ESTAVEL,LINEAR,CLASSIFICACAO
1214,2020-07-02,Campo Limpo Paulista,3509601,27,84650.0,False,True,267,315.41642,2020-07-01,0.1124,30,78,city,SP,0,0,4.944284714674635,0.08257104211397881,-0.001163745162149527,1.851792027968028,0.030925483937819777,-0.0004358596112919576,0,1,0,0,0,EXPONENCIAL
1215,2020-07-02,Castilho,3511003,27,21006.0,False,True,19,90.45035,2020-07-01,0.0526,1,78,city,SP,0,0,0.4051571326736896,0.019126258498655804,0.00144403853417677,2.1324059614404716,0.10066451841397792,0.007600202811456684,1,1,0,0,0,LENTO
1216,2020-07-02,Duartina,3514502,27,12445.0,False,True,27,216.9546,2020-07-01,0.037000000000000005,1,78,city,SP,0,0,0.5235792753350207,-0.00292891986325102,-0.002855537034834137,1.9391825012408175,-0.010847851345374148,-0.010576063091978284,1,0,1,0,0,LENTO
1217,2020-07-02,Fartura,3515400,27,16036.0,False,True,27,168.37116,2020-07-01,0.037000000000000005,1,78,city,SP,0,0,0.5250721686154537,0.013560035904397817,-0.001146894692367571,1.9447117356127914,0.05022235520147339,-0.004247758119879892,1,1,0,0,0,LENTO
1218,2020-07-02,Piracaia,3538600,27,27303.0,False,True,65,238.06907999999999,2020-07-01,0.0308,2,78,city,SP,0,0,1.3016151225811416,0.03277950967586491,-0.00013448959732283822,2.002484803970987,0.05043001488594601,-0.0002069070728043665,0,1,0,0,0,EXPONENCIAL
1219,2020-07-02,Santa Gertrudes,3546702,27,26898.0,False,True,64,237.93591,2020-07-01,0.0469,3,78,city,SP,0,0,1.4357396787047256,0.051323044447153014,0.00041486726257577256,2.2433432479761337,0.08019225694867659,0.0006482300977746447,0,1,0,0,0,EXPONENCIAL
1220,2020-07-02,São Joaquim da Barra,3549409,27,51888.0,False,True,143,275.59359,2020-07-01,0.006999999999999999,1,78,city,SP,0,0,3.2671720960973247,0.08795098281024348,-0.0051119904409467195,2.284735731536591,0.06150418378338705,-0.0035748184901725315,0,1,0,0,0,EXPONENCIAL
1221,2020-07-02,Taiaçu,3553104,27,6295.0,False,True,18,285.94122000000004,2020-07-01,0.0,0,78,city,SP,0,0,0.28066800364626676,0.0035434518584841184,-0.0007012953336599535,1.5592666869237042,0.019685843658245102,-0.0038960851869997417,1,1,0,0,0,LENTO
1222,2020-07-02,Coari,1301209,27,85097.0,True,False,4130,4853.28507,2020-07-02,0.0208,86,77,city,AM,330,1,68.42638417412743,0.8635160149334279,0.11764147805955004,1.6568131761289935,0.020908378085555155,0.0028484619384878942,0,1,0,0,0,EXPONENCIAL
1223,2020-07-02,Valença,2932903,27,96562.0,False,True,547,566.47543,2020-07-01,0.0293,16,77,city,BA,0,0,12.544296255356883,0.31571241166358727,-0.023779277058456748,2.2932899918385528,0.05771707708657903,-0.004347217012514945,0,1,0,0,0,EXPONENCIAL
1224,2020-07-02,Acaraú,2300200,27,62641.0,False,True,1707,2725.05228,2020-07-01,0.0252,43,77,city,CE,0,0,29.759109454083372,0.008362118725928647,-0.0662505275155084,1.7433573200986159,0.0004898722159302078,-0.0038811088175458937,0,0,0,0,1,LINEAR
1225,2020-07-02,Bela Cruz,2302305,27,32591.0,False,True,944,2896.50517,2020-07-01,0.0148,14,77,city,CE,0,0,16.89898050547433,0.15590830075540005,-0.009809143456241244,1.7901462399866876,0.016515709825783903,-0.0010391041796865724,0,1,0,0,0,EXPONENCIAL
1226,2020-07-02,Chorozinho,2303956,27,20264.0,False,True,358,1766.67983,2020-07-01,0.0307,11,77,city,CE,0,0,6.410102817177448,0.049988615082046946,-0.007031988017997564,1.790531513178058,0.01396330030224775,-0.001964242463127811,0,1,0,0,0,EXPONENCIAL
1227,2020-07-02,Guaiúba,2304954,27,26064.0,False,True,219,840.2394099999999,2020-07-01,0.105,23,77,city,CE,0,0,3.1617997259060107,-0.06185534017392576,-0.008409824381836744,1.4437441670803701,-0.02824444756800263,-0.003840102457459701,0,0,1,0,0,DESACELERACAO
1228,2020-07-02,Ibaretama,2305266,27,13353.0,False,True,20,149.77908,2020-07-01,0.25,5,77,city,CE,0,0,0.28909112479312193,-0.002595531642021161,-0.0003545406826354168,1.4454556239656096,-0.012977658210105806,-0.001772703413177084,1,0,1,0,0,LENTO
1229,2020-07-02,Itapiúna,2306504,27,20382.0,False,True,147,721.22461,2020-07-01,0.034,5,77,city,CE,0,0,2.361159957318244,0.002036782257229727,-0.0037840509826601245,1.6062312634817986,0.0013855661613807666,-0.002574184341945663,0,0,0,0,1,LINEAR
1230,2020-07-02,Orós,2309508,27,21427.0,False,True,230,1073.41205,2020-07-01,0.013000000000000001,3,77,city,CE,0,0,5.006004916746419,0.16621820527242198,0.0061660536891638895,2.176523876846269,0.07226878490105304,0.002680892908332126,0,1,0,0,0,EXPONENCIAL
1231,2020-07-02,Tururu,2313559,27,16271.0,False,True,212,1302.9316,2020-07-01,0.066,14,77,city,CE,0,0,3.411179532789274,-0.022636179916812993,-0.003933223745486871,1.6090469494289028,-0.010677443356987261,-0.0018552942195692787,0,0,1,0,0,DESACELERACAO
1232,2020-07-02,Carmo do Rio Verde,5205000,27,10082.0,True,False,13,128.94267,2020-07-02,0.0,0,77,city,GO,0,0,0.2549756705721602,0.003787886780466497,-0.0013185029637122001,1.96135131209354,0.02913759061897305,-0.010142330490093847,1,1,0,0,0,LENTO
1233,2020-07-02,Ceres,5205406,27,22191.0,True,False,95,428.10148,2020-07-02,0.0105,1,77,city,GO,0,0,2.5200055763686997,0.12435948445710868,0.0032991279011538896,2.6526374488091577,0.13090472048116703,0.003472766211740936,0,1,0,0,0,EXPONENCIAL
1234,2020-07-02,Barreirinhas,2101707,27,62528.0,True,False,319,510.17144,2020-07-02,0.0533,17,77,city,MA,19,0,5.248875209107629,0.1499523447632163,0.020099160753438167,1.6454154260525482,0.047007004627967496,0.006300677352174973,0,1,0,0,0,EXPONENCIAL
1235,2020-07-02,Miranda do Norte,2106755,27,28381.0,True,False,136,479.19383,2020-07-02,0.0368,5,77,city,MA,0,0,1.3215574771739207,-0.06272479097444347,0.0006019557807750363,0.9717334390984711,-0.046121169834149614,0.00044261454468752666,0,0,1,0,0,DESACELERACAO
1236,2020-07-02,Morros,2107100,27,19433.0,True,False,118,607.21453,2020-07-02,0.0339,4,77,city,MA,2,0,1.6553687089537057,0.005655751906697191,0.0006449084137101311,1.4028548380963606,0.004793010090421348,0.0005465325539916365,0,0,0,0,1,LINEAR
1237,2020-07-02,Tuntum,2112308,27,41832.0,True,False,566,1353.03117,2020-07-02,0.0035,2,77,city,MA,45,0,11.535905496878788,0.20140791775511707,-0.0041949922062082855,2.038145847505086,0.035584437765921746,-0.0007411647007435133,0,1,0,0,0,EXPONENCIAL
1238,2020-07-02,Vargem Grande,2112704,27,56510.0,True,False,454,803.3976299999999,2020-07-02,0.0088,4,77,city,MA,39,0,7.731860559980883,0.018612419373031177,0.009291723184720468,1.7030529867799302,0.004099651844279995,0.0020466350627137597,0,0,0,0,1,LINEAR
1239,2020-07-02,Caeté,3110004,27,44718.0,True,False,54,120.75674,2020-07-02,0.0,0,77,city,MG,2,0,1.1507532867569272,0.03141977724778312,-8.08930010054509e-05,2.1310246051054205,0.058184772681079855,-0.00014980185371379798,0,1,0,0,0,EXPONENCIAL
1240,2020-07-02,Camanducaia,3110509,27,21770.0,True,False,94,431.78686,2020-07-02,0.0213,2,77,city,MG,12,0,1.4886467089121465,0.03348566379289109,0.007072294789862037,1.5836667116086665,0.035623046588182015,0.007523717861555358,0,1,0,0,0,EXPONENCIAL
1241,2020-07-02,Conselheiro Lafaiete,3118304,27,128589.0,True,False,134,104.20798,2020-07-02,0.0075,1,77,city,MG,8,0,2.803285317839102,0.10816255423167945,0.0066649882198569965,2.0920039685366434,0.08071832405349212,0.00497387180586343,0,1,0,0,0,EXPONENCIAL
